source,target
3225,318883
41085,318883
5721,318884
5798,318884
5822,318884
5843,318884
5864,318884
5882,318884
5896,318884
5912,318884
5931,318884
5952,318884
5959,318884
5978,318884
5999,318884
6020,318884
6045,318884
6145,318884
6193,318884
6273,318884
6296,318884
6401,318884
6451,318884
7214,318884
7237,318884
7292,318884
7312,318884
7401,318884
7436,318884
7460,318884
7485,318884
7509,318884
7532,318884
39515,318884
39840,318884
39858,318884
40109,318884
49609,318884
49652,318884
49726,318884
321980,318884
11631,318885
11653,318885
12608,318885
12619,318885
12633,318885
12653,318885
12664,318885
12682,318885
12701,318885
42213,318885
42231,318885
42247,318885
42263,318885
42279,318885
42296,318885
44001,318885
45389,318885
45427,318885
45450,318885
45473,318885
45504,318885
45521,318885
45546,318885
45620,318885
45638,318885
45660,318885
45682,318885
46904,318885
49369,318885
51555,318885
51572,318885
23563,318886
23600,318886
23624,318886
23633,318886
1433,318887
1442,318887
1457,318887
24943,318887
24961,318887
24976,318887
25066,318887
46273,318887
49420,318887
6169,318888
6218,318888
6247,318888
6257,318888
48991,318888
49553,318888
49565,318888
49666,318888
4123,318889
5151,318889
5172,318889
5191,318889
5212,318889
16578,318889
16599,318889
16618,318889
16637,318889
44637,318889
22723,318890
22734,318890
23109,318890
23130,318890
25419,318890
25438,318890
25458,318890
25518,318890
25562,318890
25596,318890
25974,318890
26409,318890
43888,318891
43899,318891
43910,318891
43923,318891
43935,318891
43953,318891
43977,318891
30050,318892
30072,318892
30113,318892
32060,318892
32112,318892
32129,318892
32432,318892
11330,318893
42578,318893
42596,318893
42662,318893
42715,318893
42750,318893
42768,318893
42803,318893
13735,318894
13771,318894
41435,318894
41440,318894
41454,318894
9985,318895
10045,318895
10087,318896
10109,318896
10149,318896
10172,318896
10195,318896
9970,318897
10080,318897
10103,318897
10125,318897
10140,318897
10156,318897
10179,318897
9990,318898
10040,318898
4259,318899
4281,318899
4320,318899
4342,318899
14840,318899
14861,318899
14886,318899
15035,318899
15057,318899
15083,318899
46367,318899
47098,318899
4314,318900
4471,318900
4492,318900
4531,318900
4546,318900
4833,318900
4858,318900
4881,318900
4894,318900
4939,318900
14913,318900
14967,318900
14975,318900
15020,318900
15235,318900
15257,318900
15283,318900
15319,318900
15355,318900
15386,318900
15387,318900
15422,318900
15445,318900
15474,318900
15507,318900
15545,318900
15668,318900
15910,318900
15934,318900
15950,318900
15967,318900
15996,318900
16007,318900
16034,318900
16060,318900
16085,318900
16103,318900
16452,318900
44624,318900
46039,318900
28801,318901
28836,318901
28887,318901
28937,318901
23052,318902
23068,318902
23185,318902
23254,318902
24122,318902
24144,318902
24160,318902
24179,318902
24240,318902
24394,318902
24493,318902
25188,318902
25206,318902
25883,318902
26152,318902
50695,318902
321537,318902
5312,318903
6074,318903
27232,318903
11440,318904
11586,318904
11609,318904
42870,318904
43834,318904
43966,318904
49348,318904
49381,318904
18854,318905
20773,318905
20823,318905
20850,318905
50581,318905
321568,318905
28941,318906
28951,318906
28958,318906
28969,318906
28977,318906
28989,318906
28995,318906
29004,318906
29014,318906
29026,318906
29033,318906
29041,318906
29047,318906
29809,318906
29845,318906
30546,318906
31467,318906
31474,318906
31501,318906
31594,318906
31595,318906
31606,318906
33684,318907
33866,318907
34018,318907
34150,318907
34187,318907
34219,318907
34224,318907
34242,318907
34260,318907
34296,318907
34316,318907
34354,318907
35003,318907
35028,318907
35033,318907
36200,318907
36228,318907
36267,318907
36272,318907
5265,318908
5277,318908
5286,318908
5296,318908
6478,318908
9129,318908
9147,318908
9165,318908
9181,318908
9201,318908
9220,318908
9233,318908
9252,318908
9263,318908
9283,318908
9325,318908
9338,318908
9361,318908
9379,318908
9396,318908
9412,318908
9429,318908
9447,318908
9464,318908
9481,318908
9501,318908
10316,318908
10340,318908
10418,318908
10421,318908
10453,318908
10456,318908
10473,318908
10489,318908
10519,318908
10522,318908
10538,318908
10554,318908
10572,318908
10606,318908
11553,318908
11563,318908
11572,318908
11582,318908
11614,318908
11700,318908
11716,318908
11732,318908
11748,318908
11765,318908
11784,318908
11806,318908
43663,318908
43685,318908
43698,318908
43710,318908
43720,318908
44087,318908
44103,318908
44112,318908
44132,318908
44147,318908
44165,318908
44181,318908
44197,318908
44973,318908
44986,318908
45003,318908
45020,318908
49892,318908
321555,318908
321636,318908
321942,318908
34459,318909
34556,318909
35047,318909
35078,318909
35129,318909
35230,318909
35476,318909
35520,318909
35552,318909
35567,318909
35624,318909
35652,318909
35666,318909
35682,318909
36297,318909
36313,318909
36329,318909
44838,318909
48730,318909
48792,318909
51302,318909
51349,318909
51368,318909
51373,318909
9139,318910
9156,318910
9173,318910
9190,318910
9212,318910
9230,318910
9241,318910
9260,318910
9272,318910
9279,318910
9307,318910
9313,318910
9329,318910
9353,318910
9371,318910
9388,318910
9404,318910
9421,318910
9438,318910
9455,318910
9473,318910
9493,318910
12996,318910
13003,318910
13018,318910
16911,318910
16922,318910
16972,318910
41269,318910
41294,318910
41308,318910
321644,318910
12054,318911
12072,318911
12082,318911
12100,318911
12300,318911
12326,318911
12403,318911
12959,318911
13086,318911
13091,318911
44522,318911
4972,318912
4985,318912
16142,318912
4585,318913
4596,318913
4632,318913
4641,318913
4685,318913
15529,318913
15570,318913
15591,318913
15598,318913
15606,318913
15617,318913
8,318914
88,318914
7647,318914
7749,318914
7934,318914
8022,318914
8083,318914
8100,318914
8274,318914
8957,318914
10374,318914
41323,318914
41394,318914
41852,318914
