source,distance,target
321091,1.26,321462
321092,0.94,321476
321094,0.58,320929
321095,0.45,321252
321097,1.04,321424
321099,2.69,321181
321100,2.76,321122
321102,2.16,321163
321103,4.04,321342
321104,9.07,321040
321109,1.21,319768
321112,0.66,321113
321115,1.92,321222
321115,1.53,321248
321116,0.59,321115
321117,1.09,321248
321117,1.29,321434
321123,1.14,321177
321123,1.03,321252
321129,1.74,321411
321132,0.63,321264
321135,1.11,321475
321136,1.98,321176
321137,0.33,319419
321138,1.19,321494
321139,1.05,321482
321140,0.75,321482
321148,2.0,321016
321150,2.66,321096
321158,6.6,321323
321160,0.68,321339
321165,1.24,321172
321166,2.36,321237
321173,14.26,321208
321175,1.96,321287
321182,2.6,321265
321186,1.41,321250
321188,1.06,321333
321190,3.16,321509
321190,1.14,321512
321192,22.2,321506
321198,2.14,321343
321209,0.88,321210
321211,0.85,321257
321214,1.86,321393
321216,1.6,321327
321220,2.48,321261
321221,1.09,321235
321221,0.51,321513
321224,0.93,321225
321234,0.45,321504
321235,1.2,321504
321237,2.34,321232
321244,4.04,321479
321248,0.69,321434
321251,7.75,321279
321252,1.26,321382
321254,1.84,321302
321266,8.88,321506
321274,3.93,321377
321277,2.41,321359
321280,1.76,321410
321282,2.78,321314
321285,1.56,321295
321288,0.31,321289
321296,6.8,321489
321306,1.28,321305
321308,0.9,321309
321309,0.85,321310
321318,2.66,321440
321326,1.06,321285
321328,0.85,321437
321341,6.0,321473
321350,3.46,321507
321374,0.99,321497
321385,0.49,321384
321392,3.6,321459
321393,7.81,321487
321394,0.95,321335
321397,0.81,321398
321405,0.69,321404
321419,0.85,321338
321421,1.69,321422
321427,1.6,321456
321427,1.26,321477
321435,3.16,321400
321439,6.7,321481
321440,2.45,321472
321441,2.03,321397
321444,0.33,321443
321448,2.08,321358
321450,4.99,321303
321452,3.71,321454
321453,0.65,321454
321455,4.63,321383
321456,4.2,321502
321458,0.79,321492
321463,4.95,321322
321466,0.56,321465
321467,1.99,321469
321468,11.74,321388
321471,2.83,320884
321471,4.28,321457
321484,0.85,321429
321486,1.73,321499
321508,2.0,321509
