source,distance,target
319095,4.66,320845
319096,0.7,319428
319096,2.56,319704
319097,1.73,319921
319097,3.13,320143
319098,1.79,319932
319098,2.61,320607
319099,23.48,319531
319099,6.85,320756
319100,1.96,319904
319100,4.4,321495
319101,1.51,321105
319101,0.76,321418
319102,0.45,319104
319102,1.2,321037
319103,1.34,320242
319105,1.83,319753
319105,1.35,321199
319106,0.37,319508
319106,1.21,319676
319106,1.13,320327
319107,1.83,319426
319107,0.56,319622
319107,0.56,319838
319109,4.15,319538
319109,1.2,320455
319109,2.76,320834
319109,2.85,320835
319110,1.95,319477
319110,0.99,320168
319110,0.9,320277
319111,6.0,319392
319112,0.84,319263
319112,2.49,320953
319113,0.5,320875
319114,0.78,319926
319114,1.11,321415
319115,5.12,320927
319115,4.33,321102
319116,2.14,320329
319117,0.6,319116
319117,2.75,321296
319118,1.55,320058
319119,2.06,320044
319119,2.83,320485
319119,2.63,321263
319120,1.06,319800
319120,6.46,320363
319120,3.15,320445
319121,0.76,319834
319121,2.43,321149
319122,1.81,320684
319122,1.61,321499
319123,3.39,320338
319123,11.08,321279
319124,1.13,320354
319124,5.15,320692
319125,1.56,319337
319125,1.35,320724
319126,4.99,319256
319126,3.34,320515
319127,1.4,320177
319127,19.9,320321
319128,3.85,320228
319128,7.24,321189
319129,0.63,319328
319129,2.31,320882
319130,2.51,320993
319130,1.53,321171
319131,0.61,321035
319132,0.69,319153
319132,0.66,320886
319133,2.24,319274
319133,0.96,320117
319134,0.59,319015
319134,0.93,319352
319135,1.75,320150
319135,2.48,321050
319136,2.75,319586
319136,3.39,319613
319136,4.03,321446
319137,6.44,319912
319137,14.63,320446
319137,11.39,320901
319138,3.91,319735
319139,0.99,320159
319139,0.78,321161
319140,3.31,319402
319140,3.24,321354
319141,1.43,320372
319141,1.17,321093
319142,9.21,320295
319142,3.39,320355
319143,9.29,320280
319143,2.74,321255
319145,0.84,319498
319145,0.93,320755
319146,1.67,320014
319146,3.06,320345
319146,1.16,320505
319146,4.63,321480
319147,2.61,319173
319147,1.73,320713
319149,1.69,319661
319149,2.54,320274
319150,15.6,320786
319150,7.59,321259
319151,4.75,320820
319151,5.35,320976
319152,0.41,319153
319152,0.99,320931
319154,1.55,319446
319154,2.68,320400
319155,8.33,319597
319156,2.63,320149
319156,5.13,321423
319157,1.39,319798
319157,1.65,320585
319158,3.63,319965
319158,16.91,321175
319159,2.6,319681
319159,7.38,319901
319160,5.35,319734
319160,1.95,319977
319161,1.05,320198
319161,1.04,320924
319162,1.0,319800
319162,2.04,321438
319163,0.94,320645
319164,2.59,319576
319164,1.74,320187
319165,4.03,319155
319166,0.91,319593
319166,3.15,320274
319167,1.02,320435
319167,4.33,321441
319168,1.72,319797
319169,2.85,320347
319169,3.76,320567
319170,0.75,319171
319170,1.25,319468
319171,2.01,319468
319172,4.01,319927
319173,1.31,320749
319174,2.15,319583
319174,1.03,319950
319175,0.5,321375
319176,0.46,319175
319176,0.6,320155
319177,3.29,321244
319178,6.28,320001
319178,11.56,321173
319179,2.72,320997
319179,1.75,321008
319180,3.64,319055
319180,9.33,320521
319181,4.76,320026
319181,3.98,320106
319182,0.8,319075
319182,1.03,321003
319183,1.01,319218
319183,1.04,320847
319184,2.13,319736
319185,0.82,319474
319185,1.04,319971
319186,3.91,319630
